#CTMC
23
-11400000	500000	700000	700000	100000	300000	400000	200000	700000	500000	700000	700000	800000	900000	600000	0	900000	100000	700000	300000	600000	300000	700000
100000	-8700000	800000	700000	200000	100000	400000	600000	800000	400000	400000	0	900000	0	100000	200000	200000	400000	900000	500000	300000	400000	300000
0	100000	-10100000	600000	500000	400000	900000	500000	800000	500000	300000	700000	100000	0	500000	0	700000	900000	200000	200000	700000	900000	600000
800000	900000	200000	-9800000	800000	900000	200000	300000	500000	400000	200000	0	100000	900000	900000	500000	600000	100000	100000	200000	100000	200000	900000
0	200000	100000	900000	-8500000	0	800000	600000	400000	0	300000	400000	400000	100000	800000	100000	500000	900000	800000	100000	300000	600000	200000
900000	700000	700000	400000	700000	-9700000	100000	300000	0	900000	900000	600000	0	500000	100000	800000	700000	0	700000	200000	100000	100000	300000
400000	900000	900000	900000	900000	900000	-13500000	800000	300000	700000	200000	900000	700000	800000	0	400000	900000	900000	500000	100000	0	500000	900000
700000	300000	100000	700000	300000	200000	800000	-9800000	600000	0	900000	600000	300000	100000	800000	500000	900000	500000	0	200000	400000	400000	500000
900000	400000	500000	500000	300000	400000	600000	900000	-9200000	800000	300000	0	200000	600000	400000	200000	500000	200000	200000	300000	0	800000	200000
500000	300000	300000	400000	400000	600000	800000	500000	0	-9100000	500000	200000	600000	100000	900000	300000	100000	100000	800000	800000	100000	700000	100000
0	100000	0	0	0	300000	100000	300000	700000	800000	-9500000	800000	700000	500000	200000	800000	800000	600000	500000	800000	700000	500000	300000
300000	200000	0	800000	300000	800000	100000	400000	200000	0	600000	-9500000	700000	100000	700000	700000	600000	600000	900000	100000	400000	700000	300000
0	300000	500000	900000	800000	200000	500000	300000	400000	900000	0	400000	-10600000	800000	700000	500000	500000	400000	600000	800000	700000	300000	100000
100000	500000	900000	500000	600000	200000	800000	600000	300000	800000	800000	200000	300000	-12000000	300000	700000	800000	700000	500000	900000	300000	700000	500000
100000	900000	500000	700000	700000	800000	100000	800000	500000	700000	700000	800000	0	500000	-10700000	200000	100000	700000	100000	200000	200000	600000	800000
0	600000	600000	100000	300000	0	0	100000	900000	200000	700000	800000	700000	600000	600000	-9600000	100000	100000	900000	500000	900000	0	900000
200000	100000	600000	400000	200000	0	100000	900000	800000	900000	300000	800000	0	900000	500000	200000	-8500000	700000	200000	0	100000	0	600000
500000	400000	800000	500000	800000	600000	300000	200000	700000	800000	800000	600000	500000	900000	300000	600000	100000	-11700000	300000	300000	800000	100000	800000
200000	700000	900000	600000	800000	200000	300000	0	300000	0	100000	900000	500000	200000	0	300000	500000	300000	-8400000	100000	800000	500000	200000
900000	600000	800000	900000	900000	500000	700000	700000	300000	600000	200000	200000	500000	900000	900000	400000	100000	300000	800000	-11900000	100000	200000	400000
900000	700000	200000	100000	700000	700000	500000	200000	800000	300000	400000	700000	900000	100000	300000	100000	500000	100000	500000	500000	-10400000	400000	800000
500000	700000	200000	400000	200000	400000	500000	400000	100000	500000	0	600000	900000	500000	900000	500000	0	800000	200000	900000	500000	-10000000	300000
